academic_term,academic_year,faculty,faculty_abbrev,subject,subject_abbrev,title
Fall/Winter,2023-2024,GS,Faculty of Graduate Studies,INTE,Conference Interpreting,Documentation & Professional Practice VI
Fall/Winter,2023-2024,GS,Faculty of Graduate Studies,INTE,Conference Interpreting,Mandarin Into English I
Fall/Winter,2023-2024,GS,Faculty of Graduate Studies,INTE,Conference Interpreting,Spanish Into English I
Fall/Winter,2023-2024,GS,Faculty of Graduate Studies,INTE,Conference Interpreting,Mandarin Into English II
Fall/Winter,2023-2024,GS,Faculty of Graduate Studies,INTE,Conference Interpreting,English Into Mandarin I
Fall/Winter,2023-2024,GS,Faculty of Graduate Studies,INTE,Conference Interpreting,English Into Spanish I
Fall/Winter,2023-2024,GS,Faculty of Graduate Studies,INTE,Conference Interpreting,English Into Mandarin II
Fall/Winter,2023-2024,GS,Faculty of Graduate Studies,INTE,Conference Interpreting,English Into Spanish II
Fall/Winter,2023-2024,GL,College universitaire Glendon,ITEC,Information Technology,Creation and Management of a site on the WWW
Fall/Winter,2023-2024,GL,College universitaire Glendon,ITEC,Information Technology,Computer Usage and Software Applications I
Fall/Winter,2023-2024,GL,College universitaire Glendon,LIN,Linguistics and Language Studies,Introduction to Linguistics
Fall/Winter,2023-2024,GL,College universitaire Glendon,LIN,Linguistics and Language Studies,Logique formelle et informelle
Fall/Winter,2023-2024,GL,College universitaire Glendon,LIN,Linguistics and Language Studies,Introduction à la linguistique générale et française
Fall/Winter,2023-2024,GL,College universitaire Glendon,LIN,Linguistics and Language Studies,Anishinaabemowin (Ojibway) Language and Culture II
Fall/Winter,2023-2024,GL,College universitaire Glendon,LIN,Linguistics and Language Studies,Phonetics
Fall/Winter,2023-2024,GL,College universitaire Glendon,LIN,Linguistics and Language Studies,Morphology
Fall/Winter,2023-2024,GL,College universitaire Glendon,LIN,Linguistics and Language Studies,Learning English as a Second Language
Fall/Winter,2023-2024,GL,College universitaire Glendon,LIN,Linguistics and Language Studies,Phonétique/Phonologie du français moderne
Fall/Winter,2023-2024,GL,College universitaire Glendon,LIN,Linguistics and Language Studies,Syntaxe (domaine du français)
Fall/Winter,2023-2024,GL,College universitaire Glendon,LIN,Linguistics and Language Studies,Introduction aux troubles du langage dans la perspective  de la linguistique clinique
Fall/Winter,2023-2024,GL,College universitaire Glendon,LIN,Linguistics and Language Studies,Directed Reading
Fall/Winter,2023-2024,GL,College universitaire Glendon,LIN,Linguistics and Language Studies,Contemporary Spanish in Latin America
Fall/Winter,2023-2024,GL,College universitaire Glendon,LIN,Linguistics and Language Studies,Linguistic Diversity in Canada
Fall/Winter,2023-2024,GL,College universitaire Glendon,LIN,Linguistics and Language Studies,Histoire de la langue française
Fall/Winter,2023-2024,GL,College universitaire Glendon,LIN,Linguistics and Language Studies,English as a World Language
Fall/Winter,2023-2024,GL,College universitaire Glendon,LYON,Lyon,Lyon BBA Credits
